epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5199999809265137,0.5348848700523376,9.999999747378752e-05,3.124537706375122,0.5230262875556946,0.5264900922775269,0.5038759708404541,0.8376201391220093,3.051522731781006,0.5038759708404541,1.0
1,0.5583333373069763,0.569930911064148,9.999999747378752e-05,3.0634853839874268,0.5677655935287476,0.5132450461387634,0.5038759708404541,0.920192301273346,3.0632028579711914,0.5038759708404541,1.0
2,0.5600000023841858,0.6054435968399048,9.999999747378752e-05,2.9991302490234375,0.5646258592605591,0.5496688485145569,0.5038759708404541,0.9823317527770996,3.1758663654327393,0.5038759708404541,1.0
3,0.6733333468437195,0.737488329410553,9.999999747378752e-05,2.8521220684051514,0.6866196990013123,0.6456953883171082,0.5038759708404541,0.9944710731506348,3.337409734725952,0.5038759708404541,1.0
4,0.7283333539962769,0.8197586536407471,9.999999747378752e-05,2.7414889335632324,0.7421602606773376,0.7052980065345764,0.5038759708404541,0.9966346025466919,3.478440284729004,0.5038759708404541,1.0
5,0.7799999713897705,0.8708776235580444,9.999999747378752e-05,2.657945394515991,0.8035714030265808,0.7450330853462219,0.5038759708404541,0.9959134459495544,3.625303268432617,0.5038759708404541,1.0
6,0.8083333373069763,0.8782778978347778,4.999999873689376e-05,2.6264264583587646,0.8303886651992798,0.7781456708908081,0.5038759708404541,0.9973557591438293,3.543332099914551,0.5038759708404541,1.0
7,0.800000011920929,0.8974454402923584,4.999999873689376e-05,2.586275815963745,0.8116438388824463,0.7847682237625122,0.5038759708404541,0.9973557591438293,3.2766857147216797,0.5038759708404541,1.0
8,0.7900000214576721,0.8805780410766602,4.999999873689376e-05,2.5990982055664062,0.807692289352417,0.7649006843566895,0.5116279125213623,0.998197078704834,3.1396238803863525,0.5078125,1.0
9,0.8149999976158142,0.8996288776397705,4.999999873689376e-05,2.553889751434326,0.8576778769493103,0.7582781314849854,0.5116279125213623,0.9980769157409668,3.0003445148468018,0.5078125,1.0
10,0.8233333230018616,0.9057735800743103,4.999999873689376e-05,2.534952402114868,0.8656716346740723,0.7682119011878967,0.5426356792449951,0.9984374642372131,2.9180712699890137,0.524193525314331,1.0
11,0.8683333396911621,0.9314246773719788,4.999999873689376e-05,2.482611656188965,0.9054545164108276,0.8245033025741577,0.6744186282157898,0.998317301273346,2.6318750381469727,0.6074766516685486,1.0
12,0.8316666483879089,0.924007773399353,4.999999873689376e-05,2.4771852493286133,0.8526315689086914,0.804635763168335,0.6976743936538696,0.9985576868057251,2.5810372829437256,0.625,1.0
13,0.8766666650772095,0.9397695064544678,4.999999873689376e-05,2.4414472579956055,0.9042553305625916,0.8443708419799805,0.8449612259864807,0.9985576868057251,2.43729305267334,0.7647058963775635,1.0
